City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,barra de santo antonio,-9.4047,-35.5072,296.75,88,2,1.14,BR,1699832829
83,quelimane,-17.8786,36.8883,295.11,81,0,1.71,MZ,1699832830
84,sitka,57.0531,-135.33,281.09,61,0,0.0,US,1699832831
85,avarua,-21.2078,-159.775,298.18,53,100,3.09,CK,1699832832
86,wailua homesteads,22.0669,-159.378,301.39,80,40,9.26,US,1699832832
87,olinda,-8.0089,-34.8553,300.0,69,40,3.09,BR,1699832833
88,el jadid,33.2549,-8.506,292.47,84,100,6.86,MA,1699832834
89,itoman,26.1247,127.6694,295.16,60,75,10.8,JP,1699832834
90,nacozari de garcia,30.3742,-109.6908,292.28,39,0,2.95,MX,1699832835
91,gereshk,31.8209,64.5701,286.47,36,2,1.55,AF,1699832836
92,bilibino,68.0546,166.4372,261.56,95,100,2.86,RU,1699832837
93,puerto ayora,-0.7393,-90.3518,297.9,90,45,1.79,EC,1699832837
94,vorgashor,67.5833,63.95,261.61,98,52,3.8,RU,1699832838
95,birao,10.2849,22.7882,299.15,67,88,2.09,CF,1699832839
96,rufino,-34.2683,-62.7126,286.31,30,23,3.6,AR,1699832840
97,utrik,11.2278,169.8474,301.11,81,100,8.68,MH,1699832840
98,port douglas,-16.4833,145.4667,301.25,58,85,3.47,AU,1699832842
99,alice springs,-23.7,133.8833,301.9,42,60,4.12,AU,1699832842
100,minas de marcona,-15.2119,-75.1103,287.87,89,86,6.5,PE,1699832843
101,obock,12.25,43.0833,295.16,83,17,5.7,DJ,1699832844
102,san pedro pochutla,15.7333,-96.4667,303.99,87,17,2.01,MX,1699832844
103,yellowknife,62.456,-114.3525,265.6,97,100,8.23,CA,1699832702
104,phan thiet,10.9333,108.1,298.34,84,31,2.34,VN,1699832846
105,ludington,43.9553,-86.4526,283.25,59,100,6.69,US,1699832847
106,isafjordur,66.0755,-23.124,274.97,82,100,1.89,IS,1699832847
107,kargasok,59.0556,80.8572,274.24,94,100,2.68,RU,1699832848
108,vapnyarka,48.5348,28.7436,278.13,81,100,5.34,UA,1699832849
109,sao vicente,-23.9631,-46.3919,308.25,56,31,3.13,BR,1699832850
110,ilulissat,69.2167,-51.1,261.16,61,100,0.0,GL,1699832740
111,boundiali,9.5217,-6.4869,298.87,57,21,1.34,CI,1699832851
112,hammerfest,70.6634,23.6821,268.4,63,0,1.54,NO,1699832852
113,mbandaka,0.0487,18.2603,295.29,99,100,1.42,CD,1699832853
114,morehead city,34.7229,-76.726,285.15,86,100,8.23,US,1699832840
115,antofagasta,-23.65,-70.4,290.75,84,49,6.21,CL,1699832733
116,rojhan,28.6868,69.9534,292.3,31,23,1.65,PK,1699832855
117,paraty,-23.2178,-44.7131,300.54,66,87,1.28,BR,1699832856
118,lebu,-37.6167,-73.65,282.51,66,1,7.55,CL,1699832856
119,byndoor,13.8667,74.6333,297.99,72,90,1.84,IN,1699832857
120,ndele,8.4109,20.6473,295.31,96,100,1.56,CF,1699832858
121,penzance,50.1186,-5.5371,286.53,96,100,11.93,GB,1699832609
122,celestun,20.8667,-90.4,299.73,84,100,9.84,MX,1699832859
123,bamboo flat,11.7,92.7167,297.2,88,100,3.09,IN,1699832860
124,sola,-13.8833,167.55,299.09,78,98,12.85,VU,1699832860
125,fort bragg,35.139,-79.006,286.38,70,40,2.06,US,1699832861
126,saint-francois,46.4154,3.9054,285.84,95,75,2.06,FR,1699832862
127,kavieng,-2.5744,150.7967,301.64,68,100,1.74,PG,1699832862
128,igarka,67.4667,86.5833,271.64,97,100,5.28,RU,1699832863
129,necochea,-38.5473,-58.7368,282.15,56,75,3.13,AR,1699832864
130,remire-montjoly,4.9167,-52.2667,299.87,83,65,3.14,GF,1699832864
131,metropolis,37.1512,-88.732,284.9,58,0,0.0,US,1699832865
132,nakkila,61.3667,22.0,273.09,100,100,2.06,FI,1699832866
133,keflavik,64.0049,-22.5624,277.1,70,0,6.17,IS,1699832867
134,tazovsky,67.4667,78.7,262.37,96,94,5.07,RU,1699832867
135,codrington,-38.2667,141.9667,289.03,51,17,5.46,AU,1699832868
136,ebon,4.582,168.6964,301.89,80,100,6.41,MH,1699832869
137,salahonda,2.1019,-78.7217,299.37,87,30,5.91,CO,1699832869
138,punta arenas,-53.15,-70.9167,284.21,54,75,10.29,CL,1699832871
139,fortuna,40.5982,-124.1573,290.66,66,20,0.0,US,1699832872
140,aykhal,66.0,111.5,260.45,95,100,4.31,RU,1699832872
141,nouadhibou,20.931,-17.0347,295.14,68,0,6.69,MR,1699832873
142,kerikeri,-35.2268,173.9474,289.79,65,0,3.84,NZ,1699832874
143,fortuna foothills,32.6578,-114.4119,302.2,21,0,2.24,US,1699832874
144,vadso,70.0744,29.7487,268.24,93,40,5.14,NO,1699832875
145,gondar,12.6,37.4667,287.58,70,51,2.28,ET,1699832876
146,st. paul,44.9444,-93.0933,286.46,49,0,5.14,US,1699832722
147,arvika,59.6553,12.5852,271.49,86,17,2.27,SE,1699832877
148,dzilam gonzalez,21.2833,-88.9333,299.86,75,90,4.14,MX,1699832878
149,covington,39.0837,-84.5086,284.11,59,0,1.54,US,1699832879
150,stanley,54.868,-1.6985,279.66,94,75,4.63,GB,1699832880
151,st. john's,47.5649,-52.7093,273.13,89,100,6.69,CA,1699832681
